Latitude	Longitude
42.90560	-115.00220
42.90530	-115.00420
42.90500	-115.00620
42.90470	-115.00810
42.90440	-115.01010
42.90561	-115.01250
42.90530	-115.01450
42.90640	-115.01690
42.90610	-115.01880
42.90721	-115.02120
42.90690	-115.02320
42.90810	-115.02560
42.90770	-115.02760
42.90751	-115.02960
42.90711	-115.03150
42.90681	-115.03350
42.90800	-115.03590
42.90770	-115.03780
42.90740	-115.03990
42.90851	-115.04220
42.90960	-115.04460
42.91080	-115.04700
42.91191	-115.04940
42.91011	-115.05100
42.90990	-115.05300
42.90950	-115.05490
42.90921	-115.05690
42.90891	-115.05890
42.90861	-115.06090
42.90831	-115.06280
42.90801	-115.06480
42.90770	-115.06680
42.90880	-115.06920
42.90850	-115.07110
42.90970	-115.07350
42.90940	-115.07550
42.90900	-115.07750
42.91021	-115.07990
42.90991	-115.08190
42.90961	-115.08380
42.90921	-115.08580
42.90901	-115.08780
42.90861	-115.08970
42.90981	-115.09210
42.90951	-115.09410
42.90921	-115.09610
42.90890	-115.09810
42.91000	-115.10050
42.90970	-115.10240
42.90791	-115.10400
42.90771	-115.10600
42.90730	-115.10790
42.90560	-115.10950
42.90530	-115.11150
42.90640	-115.11380
42.90460	-115.11540
42.90430	-115.11740
42.90400	-115.11940
42.90221	-115.12090
42.90191	-115.12290
42.90020	-115.12440
42.89980	-115.12640
42.89810	-115.12800
42.89630	-115.12950
42.89600	-115.13150
42.89570	-115.13350
42.89540	-115.13540
42.89510	-115.13740
42.89330	-115.13900
42.89301	-115.14090
42.89270	-115.14290
42.89240	-115.14490
42.89360	-115.14730
42.89320	-115.14930
42.89290	-115.15120
42.89410	-115.15360
42.89551	-115.15410
42.89671	-115.15640
42.89810	-115.15690
42.89960	-115.15730
42.90100	-115.15770
42.90241	-115.15810
42.90390	-115.15860
42.90540	-115.15900
42.90680	-115.15940
42.90830	-115.15980
42.90971	-115.16020
42.91120	-115.16070
42.91260	-115.16110
42.91410	-115.16150
42.91521	-115.16390
42.91671	-115.16430
42.91840	-115.16280
42.92020	-115.16120
42.92161	-115.16160
42.92340	-115.16010
42.92520	-115.15860
42.92690	-115.15700
42.92870	-115.15540
42.93011	-115.15590
42.93161	-115.15630
42.93300	-115.15670
42.93450	-115.15710
42.93621	-115.15560
42.93770	-115.15600
42.93880	-115.15840
42.94030	-115.15880
42.94140	-115.16120
42.94321	-115.15970
42.94431	-115.16200
42.94551	-115.16450
42.94690	-115.16490
42.94810	-115.16730
42.94980	-115.16570
42.95100	-115.16810
42.95240	-115.16860
42.95390	-115.16900
42.95500	-115.17140
42.95610	-115.17380
42.95760	-115.17420
42.95870	-115.17660
42.95990	-115.17900
42.96110	-115.18140
42.96251	-115.18180
42.96361	-115.18420
42.96510	-115.18460
42.96650	-115.18510
42.96790	-115.18550
42.96941	-115.18590
42.97080	-115.18630
42.97260	-115.18480
42.97441	-115.18320
42.97470	-115.18130
42.97640	-115.17970
42.97821	-115.17810
42.98000	-115.17660
42.98180	-115.17500
42.98350	-115.17350
42.98490	-115.17390
42.98640	-115.17430
42.98791	-115.17480
42.98901	-115.17720
42.99070	-115.17560
42.99220	-115.17600
42.99340	-115.17840
42.99450	-115.18080
42.99560	-115.18320
42.99711	-115.18370
42.99850	-115.18410
42.99821	-115.18610
42.99931	-115.18840
42.99910	-115.19040
